"","Gene","Annotation","amox_clauv_acid","ampicillin","cefalexin","cefazolin","cefovecin","cefpodoxime","ceftazidime","chloramphenicol","doxycycline","enrofloxacin","gentamicin","marbofloxacin","orbifloxacin","prado","tetracycline","trimeth_sulfameth"
"group_7374","group_7374","Rpn family recombination-promoting nuclease/putative transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_7397","group_7397","iron/manganese ABC transporter permease subunit SitD",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_7427","group_7427","alpha/beta hydrolase",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_7454","group_7454","DUF1471 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2
"group_7468","group_7468","conjugal transfer relaxosome protein TraY",NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA
"group_7511","group_7511","alcohol dehydrogenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_7524","group_7524","RNA-directed DNA polymerase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_7538","group_7538","hypothetical protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_7570","group_7570","DUF4158 domain-containing protein;Tn3-like element Tn5403 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA
"group_758","group_758","type I toxin-antitoxin system Ibs family toxin",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_7601","group_7601","hypothetical protein",NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_7613","group_7613","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_7614","group_7614","glycosyltransferase family 2 protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_7621","group_7621","alpha/beta hydrolase",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_7631","group_7631","LysR family transcriptional regulator",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_7706","group_7706","post-segregation killing protein PndC",NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_7707","group_7707","hypothetical protein",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_7786","group_7786","plasmid SOS inhibition protein A",NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_7872","group_7872","type I toxin-antitoxin system toxin Ldr family protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_7894","group_7894","pilus assembly protein PilS;pilus assembly protein PilX",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_792","group_792","TetR/AcrR family transcriptional regulator;TetR family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,3
"group_8013","group_8013","transposase;transposase family protein;IS3 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_8093","group_8093","pilus assembly protein PilV",NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8102","group_8102","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"group_8180","group_8180","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,5,NA
"group_8198","group_8198","hypothetical protein;biofilm development YmgB/AriR family protein",NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,5,NA,5,NA
"group_8316","group_8316","cupin fold metalloprotein WbuC family",NA,12,12,12,12,12,NA,NA,12,12,NA,12,12,12,12,12
"group_8318","group_8318","hypothetical protein;sulfonamide-resistant dihydropteroate synthase Sul1",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,5,5
"group_8319","group_8319","hypothetical protein;sulfonamide-resistant dihydropteroate synthase Sul1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,3
"group_8321","group_8321","PadR family transcriptional regulator;helix-turn-helix transcriptional regulator",NA,6,NA,NA,NA,NA,NA,NA,NA,6,6,6,NA,NA,6,6
"group_8322","group_8322","PadR family transcriptional regulator;helix-turn-helix transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,5,5
"group_8323","group_8323","MFS transporter",NA,7,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,7,7
"group_8324","group_8324","TlpA family protein disulfide reductase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_8326","group_8326","ABC transporter permease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_8328","group_8328","scsC protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_8333","group_8333","hypothetical protein",NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8335","group_8335","Hok/Gef family protein",NA,4,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8336","group_8336","conjugal transfer protein;IncI1-type conjugal transfer protein TraW",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8338","group_8338","conjugal transfer protein TraO",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8339","group_8339","DNA primase;hypothetical protein;mobilization protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8340","group_8340","conjugal transfer protein TraE",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8341","group_8341","shufflon protein C",NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8343","group_8343","conjugal transfer protein TraD",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8345","group_8345","ash family protein;hypothetical protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8346","group_8346","recombinase family protein;hypothetical protein",NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8349","group_8349","DUF3800 domain-containing protein;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,4,4,NA,NA,NA
"group_8353","group_8353","XRE family transcriptional regulator;helix-turn-helix transcriptional regulator",NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_840","group_840","flagellin FliC;FliC/FljB family flagellin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"group_8405","group_8405","hypothetical protein",NA,4,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8406","group_8406","recombinase",4,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8407","group_8407","molecular chaperone GroEL",NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8408","group_8408","hypothetical protein;DUF4165 domain-containing protein",NA,NA,NA,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
"group_8409","group_8409","quaternary ammonium compound efflux SMR transporter SugE;quaternary ammonium compound-resistance protein SugE",7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8410","group_8410","quaternary ammonium compound efflux SMR transporter SugE;quaternary ammonium compound-resistance protein SugE",7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8415","group_8415","APH(3'') family aminoglycoside O-phosphotransferase;aminoglycoside phosphotransferase APH(3');aminoglycoside O-phosphotransferase APH(3'')-Ib",NA,6,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,6,6
"group_8439","group_8439","shufflon protein D'",NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8449","group_8449","GNAT family N-acetyltransferase",NA,NA,NA,NA,NA,NA,NA,7,7,7,NA,7,7,NA,7,7
"group_8462","group_8462","alpha/beta hydrolase",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_8466","group_8466","transcriptional regulator PhoB",NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"group_8471","group_8471","hypothetical protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8473","group_8473","hypothetical protein",NA,NA,NA,7,NA,7,7,7,7,NA,NA,NA,7,NA,7,NA
"group_8475","group_8475","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3;ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,3
"group_8481","group_8481","transposase;transposase family protein;DDE-type integrase/transposase/recombinase",NA,6,NA,NA,NA,NA,NA,6,6,NA,6,NA,NA,NA,6,6
"group_8489","group_8489","hypothetical protein;DUF4165 domain-containing protein",10,NA,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,10,10
"group_8518","group_8518","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_8521","group_8521","Alw26I/Eco31I/Esp3I family type II restriction adenine-specific DNA-methyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_8578","group_8578","YjhT family mutarotase",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_8653","group_8653","phage tail protein;Ig domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"group_8664","group_8664","conjugal transfer protein TraJ;conjugal transfer transcriptional regulator TraJ",NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA
"group_8675","group_8675","alcohol dehydrogenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_870","group_870","glutathione S-transferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"group_8831","group_8831","chromate efflux transporter",NA,6,NA,NA,NA,NA,NA,NA,NA,6,6,6,NA,NA,6,6
"group_8832","group_8832","conjugal transfer protein TraQ",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8848","group_8848","EamA family transporter",NA,NA,NA,NA,7,7,NA,NA,7,7,NA,7,NA,NA,7,7
"group_8850","group_8850","phospholipase D family protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8851","group_8851","integrase",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8855","group_8855","hypothetical protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8896","group_8896","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"group_8921","group_8921","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA
"group_8970","group_8970","DNA methylase",NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_8982","group_8982","DUF3927 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA
"group_9010","group_9010","type 1 fimbria chaperone FimC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_9038","group_9038","Alw26I/Eco31I/Esp3I family type II restriction endonuclease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_9054","group_9054","ferric iron reductase;IucA/IucC family siderophore biosynthesis protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2
"group_9133","group_9133","type VI secretion system tube protein Hcp;Hcp family type VI secretion system effector",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_9142","group_9142","excisionase family protein;DNA-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_9152","group_9152","sel1 repeat family protein",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_9164","group_9164","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,4
"group_9208","group_9208","nucleotidyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_9216","group_9216","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_9218","group_9218","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"group_9260","group_9260","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_9288","group_9288","histidine phosphatase family protein;CPBP family intramembrane metalloprotease",NA,11,11,11,11,11,NA,NA,11,11,11,11,11,NA,11,NA
"group_9290","group_9290","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_9314","group_9314","protein sok",NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,5,NA,NA,NA
"group_9350","group_9350","integrase;class 1 integron integrase IntI1",NA,10,NA,10,NA,10,NA,10,10,10,NA,10,10,NA,10,10
"group_9354","group_9354","IS91-like element ISVsa3 family transposase;IS91 family transposase",NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,5,5
"group_9378","group_9378","hypothetical protein",NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_9386","group_9386","hemolysin activation protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,4,NA
"group_9388","group_9388","Tn3-like element Tn3 family transposase;Tn3 family transposase;DUF4158 domain-containing protein",3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_9401","group_9401","conjugal transfer protein TraA",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_9415","group_9415","galactonate dehydratase",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_9418","group_9418","transcriptional regulator",NA,7,NA,NA,NA,NA,NA,7,7,7,NA,7,NA,NA,7,7
"group_9455","group_9455","DUF3560 domain-containing protein;hydrolase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"group_9495","group_9495","macrolide transporter;MFS transporter",NA,NA,NA,6,NA,6,6,6,6,NA,NA,NA,NA,NA,6,NA
"group_9499","group_9499","IS5-like element IS5 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,4,NA
"group_9533","group_9533","EAL domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,3
"group_9534","group_9534","EAL domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_9540","group_9540","hypothetical protein",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_9561","group_9561","hypothetical protein",NA,8,NA,8,8,8,NA,NA,NA,8,NA,8,8,8,NA,NA
"group_9572","group_9572","lipopolysaccharide core heptose(II) kinase RfaY",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA
"group_959","group_959","EscR/YscR/HrcR family type III secretion system export apparatus protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA
"group_9604","group_9604","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_9674","group_9674","molecular chaperone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_9730","group_9730","DNA resolvase",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA
"group_9837","group_9837","DUF1266 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"group_9886","group_9886","HK97 family phage prohead protease",NA,NA,NA,5,NA,5,NA,NA,NA,5,NA,5,5,NA,NA,NA
"group_9887","group_9887","transcriptional regulator",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_990","group_990","type 1 fimbrial protein",NA,NA,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"group_9900","group_9900","ShET2/EspL2 family type III secretion system effector toxin;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_9981","group_9981","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"hpaB","hpaB","4-hydroxyphenylacetate 3-monooxygenase oxygenase component",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"hpaD","hpaD","34-dihydroxyphenylacetate 23-dioxygenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"hpaE","hpaE","5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"hpaH","hpaH","2-oxo-hepta-3-ene-17-dioic acid hydratase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"hpaI","hpaI","4-hydroxy-2-oxoheptanedioate aldolase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"hpaR","hpaR","homoprotocatechuate degradation operon regulator HpaR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"hpaX","hpaX","4-hydroxyphenylacetate permease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"hyfF","hyfF","hydrogenase;hypothetical protein;hydrogenase 4 subunit F",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"intI1","intI1","class 1 integron integrase IntI1",NA,10,NA,NA,NA,10,NA,10,10,10,10,10,10,NA,10,10
"iraM","iraM","anti-adapter protein IraM",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iucA","iucA","IucA/IucC family siderophore biosynthesis protein;aerobactin synthase IucA",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"iucB","iucB","N(6)-hydroxylysine O-acetyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"iucC","iucC","IucA/IucC family siderophore biosynthesis protein;hypothetical protein;aerobactin synthase IucC",NA,5,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5
"iutA","iutA","TonB-dependent receptor;ferric aerobactin receptor IutA",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,3
"lnuF","lnuF","lincosamide nucleotidyltransferase Lnu(F)",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"ltrA","ltrA","group II intron reverse transcriptase/maturase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"mdtM","mdtM","multidrug efflux MFS transporter MdtM",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"meaB","meaB","methylmalonyl Co-A mutase-associated GTPase MeaB",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"melB","melB","melibiose:sodium transporter MelB",NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"merA","merA","mercury(II) reductase;hypothetical protein",NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,5,5
"merP","merP","mercury resistance system periplasmic binding protein MerP",NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,5,5
"merR","merR","MerR family DNA-binding protein;Hg(II)-responsive transcriptional regulator",NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,5,5
"merT","merT","mercuric ion transporter MerT",NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,5,5
"mhpR","mhpR","DNA-binding transcriptional activator MhpR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"mphA","mphA","Mph(A) family macrolide 2'-phosphotransferase",NA,7,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,NA,7,7
"mqsA","mqsA","type II toxin-antitoxin system antitoxin MqsA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,4,NA
"mqsR","mqsR","type II toxin-antitoxin system MqsR family toxin;type II toxin-antitoxin system toxin MqsR",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,4,NA
"mtnA","mtnA","S-methyl-5-thioribose-1-phosphate isomerase",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,NA,5,5
"nanR","nanR","transcriptional regulator NanR",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA
"nikB","nikB","relaxase NikB;IncI1-type relaxase NikB",NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ompL","ompL","porin OmpL",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pemK","pemK","type II toxin-antitoxin system PemK/MazF family toxin;mRNA interferase PemK;type II toxin-antitoxin system toxin endoribonuclease PemK",NA,10,NA,10,10,10,NA,NA,10,10,10,10,10,NA,10,NA
"pilO2","pilO2","type 4b pilus protein PilO2;pilus assembly protein PilO",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pilP","pilP","type IV pilus biogenesis protein PilP",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"qac","qac","quaternary ammonium compound efflux SMR transporter QacL",NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3
"repE","repE","RepB family plasmid replication initiator protein;replication initiation protein RepE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA
"sat","sat","serine protease autotransporter toxin Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"scpC","scpC","propionyl-CoA:succinate CoA transferase",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"sopA","sopA","plasmid-partitioning protein SopA",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"ssb","ssb","single-stranded DNA-binding protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sul1","sul1","sulfonamide-resistant dihydropteroate synthase Sul1",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,3
"sul2","sul2","sulfonamide-resistant dihydropteroate synthase Sul2",NA,8,NA,NA,NA,NA,NA,8,8,8,8,8,NA,NA,8,8
"sul3","sul3","sulfonamide-resistant dihydropteroate synthase Sul3",NA,NA,NA,6,NA,6,6,6,6,NA,NA,NA,NA,NA,6,NA
"tap","tap","RepA leader peptide Tap",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"tetA","tetA","tetracycline efflux MFS transporter Tet(A)",NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,5,5
"tetB","tetB","tetracycline efflux MFS transporter Tet(B)",NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,4,NA
"tetC","tetC","transposase;tetracyline resistance-associated transcriptional repressor TetC",NA,NA,NA,NA,NA,5,NA,NA,5,5,NA,5,NA,NA,5,NA
"tetRA","tetRA","tetracycline resistance transcriptional repressor TetR(A);TetR family transcriptional regulator",NA,NA,NA,NA,7,7,NA,NA,7,7,NA,7,NA,NA,7,7
"traE","traE","type IV conjugative transfer system protein TraE",NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA
"traF","traF","type-F conjugative transfer system pilin assembly protein TraF",NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA
"traI","traI","conjugative transfer relaxase/helicase TraI;conjugal transfer nickase/helicase TraI;protein traI;traI domain protein;DNA helicase;conjugative relaxase;AAA family ATPase;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"traL","traL","type IV conjugative transfer system protein TraL",NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA
"traN","traN","type-F conjugative transfer system mating-pair stabilization protein TraN;conjugal transfer protein TraN",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,3,NA,NA,NA
"traR","traR","IncI1-type conjugal transfer protein TraR;conjugal transfer protein TraR",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"traT","traT","IncI1-type conjugal transfer protein TraT;conjugal transfer protein TraT",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"traU","traU","conjugal transfer protein TraU;conjugal transfer pilus assembly protein TraU;conjugal transfer protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"traX","traX","IncI1-type conjugal transfer protein TraX;conjugal transfer protein TraX",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trbB","trbB","IncI1-type conjugal transfer protein TrbB;DsbC family protein",NA,4,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trbB~~~trbJ","trbB~~~trbJ","type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB;P-type conjugative transfer protein TrbJ",NA,NA,NA,8,8,8,NA,8,8,NA,NA,8,8,NA,8,NA
"trbE","trbE","conjugal transfer protein TrbE",NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"tssI","tssI","type VI secretion system tip protein VgrG;type VI secretion protein VgrG;hypothetical protein;type VI secretion protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wbdA","wbdA","polymannosyl GlcNAc-diphospho-ditransoctacis-undecaprenol 23-alpha-mannosylpolymerase WbdA",NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,3,NA
"wbdC","wbdC","N-acetyl-alpha-D-glucosaminyl-diphospho-ditransoctacis-undecaprenol 3-alpha-mannosyltransferase WbdC;glycosyltransferase",NA,NA,NA,7,NA,NA,NA,7,7,7,NA,7,7,NA,7,NA
